keyword,count
which,1687933
model,1496432
data,1139061
using,1030522
results,987502
models,945092
show,916823
also,850114
such,821741
between,812343
quantum,788877
method,722201
their,683583
system,670750
field,640319
based,628850
systems,624975
learning,593532
time,588865
approach,588862
both,577004
energy,560521
theory,559285
problem,547334
different,546525
large,528623
present,528570
where,509902
more,493456
when,492427
into,482771
first,481163
than,477491
methods,469502
number,465696
used,450537
space,444506
properties,438866
performance,435888
function,431898
state,425763
only,416358
structure,412120
over,411290
proposed,410669
work,396775
high,385407
find,382304
while,374957
information,371562
some,361745
propose,356904
network,355113
other,349643
order,348783
phase,347108
however,345542
algorithm,334659
under,330366
well,329928
framework,329724
dynamics,319530
through,316051
magnetic,315636
case,311029
states,310869
each,303934
then,294130
mass,292173
distribution,289515
provide,283812
parameters,278026
demonstrate,273925
networks,273881
paper,259076
most,244266
process,242052
potential,241890
functions,238388
neural,229784
training,229562
novel,217027
general,215307
density,213894
experiments,206435
applications,206028
given,193265
detection,192059
image,185385
linear,176917
they,174019
result,170529
obtained,169523
local,168733
observed,168203
existing,160902
features,159037
control,155601
solutions,149798
deep,149536
graph,149079
equation,144167
tasks,143618
language,142912
equations,140507
finite,139116
design,137805
there,136378
within,136121
here,135192
temperature,129487
particular,128938
effect,112375
datasets,111973
found,111390
group,110941
accuracy,109255
prove,109168
spin,107673
stars,107348
terms,106144
galaxies,104715
across,101240
algorithms,101221
dataset,95974
problems,94898
effects,92131
introduce,90279
llms,87360
many,86669
further,82151
emission,81313
surface,79121
transition,78946
observations,76649
including,75622
complex,74041
generation,72800
various,72236
significant,69364
small,67083
consider,65640
star,65329
conditions,61049
shown,59719
matter,58686
type,57034
evolution,56508
fields,52901
optimization,52575
x-ray,52269
formation,49185
images,48058
address,43033
gauge,42931
very,42264
optical,41890
challenges,40728
galaxy,38269
form,37536
code,37510
multiple,36703
compared,35393
critical,35323
limit,31519
reasoning,30481
often,26882
symmetry,26611
efficient,25471
significantly,25134
knowledge,24433
quark,24209
sources,24181
discussed,23900
possible,23845
strong,23678
task,23571
effective,23456
range,23157
string,22345
decay,21975
standard,21520
algebra,21515
black,21182
discuss,21025
several,20844
classical,20842
coupling,20641
scalar,19853
dark,19797
numerical,19325
lattice,19227
solution,19135
scattering,18508
experimental,18318
theories,17791
chiral,17769
give,17753
gravity,17069
cluster,16630
clusters,16182
spectrum,15350
stellar,14460
neutrino,14198
spectra,14084
velocity,13419
line,13338
simulations,12967
radio,12958
approaches,12938
disk,12683
galactic,12521
without,12279
spectral,12231
supersymmetric,12111
sample,12046
production,12042
action,11984
decays,11513
dimensions,11331
luminosity,11239
three,11176
source,11113
region,11109
redshift,11103
electron,10986
about,10870
current,10813
matrix,10582
nuclear,10228
operators,10210
boundary,10053
higgs,9886
gravitational,9672
class,9627
algebras,9452
parameter,9400
dimensional,9222
entanglement,9199
physics,9075
groups,8981
scale,8956
invariant,8916
interaction,8716
corresponding,8620
corrections,8485
operator,8475
point,8452
spaces,8356
constant,8344
wave,8077
associated,7878
simple,7650
collisions,7377
particle,6753
presented,6587
nuclei,6461
nonlinear,6445
studied,6128
